design,clock_period_ns,input_delay,output_delay,cell_count,chip_area,wns,tns,setup_violated
alu_8bit,7.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,8.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,8.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,8.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,8.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,8.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,8.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,8.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,8.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,8.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,8.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,9.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,9.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,9.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,9.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,9.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,9.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,9.5,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,9.5,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,9.5,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,9.5,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,10.0,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,10.0,0.5,0.5,132,912.124800,0.00,0.00,0
alu_8bit,10.0,1.0,1.0,132,912.124800,0.00,0.00,0
alu_8bit,10.0,1.5,1.5,132,912.124800,0.00,0.00,0
alu_8bit,10.0,2.0,2.0,132,912.124800,0.00,0.00,0
alu_8bit,10.5,0.2,0.2,132,912.124800,0.00,0.00,0
alu_8bit,10.5,0.5,0.5,132,912.124800,0.00,0.00,0
